id,price,product_de,product_fa,category
kian-140,,Saghe Talaei Kekse,ساقه طلایی,Kekse & Gebäck / بیسکویت و شیرینی
kian-141,,Madar Kekse,بیسکویت مادر,Kekse & Gebäck / بیسکویت و شیرینی
kian-142,,Petit Beurre,پتی‌بور,Kekse & Gebäck / بیسکویت و شیرینی
kian-143,,Cremekekse,بیسکویت کرم‌دار,Kekse & Gebäck / بیسکویت و شیرینی
kian-144,,Waffeln,ویفر,Kekse & Gebäck / بیسکویت و شیرینی
kian-145,,Yazdi-Kuchen,کیک یزدی,Kekse & Gebäck / بیسکویت و شیرینی
kian-146,,Kolucheh,کلوچه,Kekse & Gebäck / بیسکویت و شیرینی
kian-147,,Ghotab,قطاب,Kekse & Gebäck / بیسکویت و شیرینی
kian-253,,Farkhondeh Kekse (Sesam & Dill),بیسکویت فرخنده کنجد و شوید,Kekse & Gebäck / بیسکویت و شیرینی
kian-261,,Naderi Kekse mit Walnussfüllung,کلوچه نادری با مغز گردو,Kekse & Gebäck / بیسکویت و شیرینی
kian-263,,Cremekekse mit Orangengeschmack,بیسکویت کرم‌دار پرتقالی,Kekse & Gebäck / بیسکویت و شیرینی
kian-264,,Farkhondeh Kekse mit Bananengeschmack,بیسکویت فرخنده با طعم موز,Kekse & Gebäck / بیسکویت و شیرینی
kian-148,,KitKat,کیت‌کت,Schokolade / شکلات
kian-149,,Mars,مارس,Schokolade / شکلات
kian-150,,Snickers,اسنیکرز,Schokolade / شکلات
kian-151,,Milka,میلکا,Schokolade / شکلات
kian-152,,Toblerone,تابلرون,Schokolade / شکلات
kian-153,,Iranische Schokolade,شکلات ایرانی,Schokolade / شکلات
kian-252,,Minoo Rangarang Toffee,شکلات رنگارنگ مینو,Schokolade / شکلات
kian-260,4.50,Konfekt-Schokolade 500 g,شکلات کنفت ۵۰۰ گرم,Schokolade / شکلات
kian-154,,Pofak (Käsesnack),پفک,Snacks & Nüsse / تنقلات و آجیل
kian-155,,Chips,چیپس,Snacks & Nüsse / تنقلات و آجیل
kian-156,,Kerne,تخمه,Snacks & Nüsse / تنقلات و آجیل
kian-157,,Mandeln,بادام,Snacks & Nüsse / تنقلات و آجیل
kian-158,,Pistazien,پسته,Snacks & Nüsse / تنقلات و آجیل
kian-159,,Walnüsse,گردو,Snacks & Nüsse / تنقلات و آجیل
kian-160,,Haselnüsse,فندق,Snacks & Nüsse / تنقلات و آجیل
kian-161,,Rosinen,کشمش,Snacks & Nüsse / تنقلات و آجیل
kian-162,,Getrocknete Feigen,انجیر خشک,Snacks & Nüsse / تنقلات و آجیل
kian-163,,Getrocknete Aprikosen,برگه زردآلو,Snacks & Nüsse / تنقلات و آجیل
kian-164,,Lavashak (Fruchtleder),لواشک,Snacks & Nüsse / تنقلات و آجیل
kian-165,,Aloocheh,آلوچه,Snacks & Nüsse / تنقلات و آجیل
kian-250,,Große Jujube (Annab),عناب درشت,Snacks & Nüsse / تنقلات و آجیل
kian-251,,Getrocknete Jujube (Annab),عناب خشک,Snacks & Nüsse / تنقلات و آجیل
kian-265,14.99,Gheisi Trockenaprikosen 700 g,قیسی واحدی ۷۰۰ گرم,Snacks & Nüsse / تنقلات و آجیل
kian-266,9.99,Vanillierte Aprikosenkerne 500 g,مغز زردآلوی وانیلی ۵۰۰ گرم,Snacks & Nüsse / تنقلات و آجیل
kian-166,,Gaz (Persischer Nougat),گز,Traditionelle Süßigkeiten / شیرینی سنتی
kian-167,,Sohan,سوهان,Traditionelle Süßigkeiten / شیرینی سنتی
kian-168,,Poolaki,پولکی,Traditionelle Süßigkeiten / شیرینی سنتی
kian-169,,Kandiszucker,نبات,Traditionelle Süßigkeiten / شیرینی سنتی
kian-170,,Noghl,نقل,Traditionelle Süßigkeiten / شیرینی سنتی
kian-171,,Baklava,باقلوا,Traditionelle Süßigkeiten / شیرینی سنتی
kian-172,,Traditioneller Ghotab,قطاب سنتی,Traditionelle Süßigkeiten / شیرینی سنتی
kian-173,,Masghati,مسقطی,Traditionelle Süßigkeiten / شیرینی سنتی
kian-174,,Basloogh,باسلوق,Traditionelle Süßigkeiten / شیرینی سنتی
kian-175,,Lokum,راحت‌الحلقوم,Traditionelle Süßigkeiten / شیرینی سنتی
kian-259,7.50,Shahia Ghorayeba (Vanille & Mandeln),غریبه شهیه با وانیل و بادام,Traditionelle Süßigkeiten / شیرینی سنتی
kian-262,8.50,Khodkar Sohan Takht,سوهان تخت خودکار,Traditionelle Süßigkeiten / شیرینی سنتی
kian-267,5.99,Hajabdolo Saffran-Pashmak,پشمک زعفرانی حاج عبدالله,Traditionelle Süßigkeiten / شیرینی سنتی
kian-268,6.99,Hajabdolo Saffran-Pashmak Häppchen (17 Stück),پشمک لقمه‌ای زعفرانی حاج عبدالله (۱۷ عددی),Traditionelle Süßigkeiten / شیرینی سنتی
kian-269,9.99,Kermani Gaz Geschenkbox (orange),گز کرمانی جعبه نارنجی,Traditionelle Süßigkeiten / شیرینی سنتی
kian-270,10.99,Kermani Gaz Geschenkbox (Termeh türkis),گز کرمانی جعبه ترمه فیروزه‌ای,Traditionelle Süßigkeiten / شیرینی سنتی
kian-271,10.99,Kermani Gaz Geschenkbox (Esfahan),گز کرمانی جعبه اصفهان,Traditionelle Süßigkeiten / شیرینی سنتی
kian-272,11.99,Kermani Gaz Geschenkbox (gold),گز کرمانی جعبه طلایی,Traditionelle Süßigkeiten / شیرینی سنتی
kian-273,12.99,Shervin Gaz,گز شروین,Traditionelle Süßigkeiten / شیرینی سنتی
kian-274,8.99,Viuna Gaz,گز ویونا,Traditionelle Süßigkeiten / شیرینی سنتی
kian-176,,Lavash-Brot,نان لواش,Brot / نان
kian-177,,Sangak-Brot,نان سنگک,Brot / نان
kian-178,,Barbari-Brot,نان بربری,Brot / نان
kian-179,,Taftoon-Brot,نان تافتون,Brot / نان
kian-180,,Pitabrot,نان پیتا,Brot / نان
kian-181,2.99,Toastbrot,نان تست,Brot / نان
kian-182,,Tortilla,تورتیلا,Brot / نان
kian-183,,Frische Kräutermischung,سبزی خوردن,Frisches Gemüse / سبزیجات تازه
kian-184,,Petersilie,جعفری,Frisches Gemüse / سبزیجات تازه
kian-185,,Koriander,گشنیز,Frisches Gemüse / سبزیجات تازه
kian-186,,Dill,شوید,Frisches Gemüse / سبزیجات تازه
kian-187,,Minze,نعناع,Frisches Gemüse / سبزیجات تازه
kian-188,,Lauch,تره,Frisches Gemüse / سبزیجات تازه
kian-189,,Basilikum,ریحان,Frisches Gemüse / سبزیجات تازه
kian-190,,Spinat,اسفناج,Frisches Gemüse / سبزیجات تازه
kian-191,,Auberginen,بادمجان,Frisches Gemüse / سبزیجات تازه
kian-192,2.49,Tomaten,گوجه‌فرنگی,Frisches Gemüse / سبزیجات تازه
kian-193,1.99,Gurken,خیار,Frisches Gemüse / سبزیجات تازه
kian-194,,Paprika,فلفل,Frisches Gemüse / سبزیجات تازه
kian-195,,Zitronen,لیمو,Frisches Gemüse / سبزیجات تازه
kian-196,,Granatapfel,انار,Frisches Obst / میوه
kian-197,,Kaki,خرمالو,Frisches Obst / میوه
kian-198,,Datteln,خرما,Frisches Obst / میوه
kian-199,2.79,Äpfel,سیب,Frisches Obst / میوه
kian-200,2.49,Orangen,پرتقال,Frisches Obst / میوه
kian-201,,Bananen,موز,Frisches Obst / میوه
kian-202,,Wassermelone,هندوانه,Frisches Obst / میوه
kian-203,,Zuckermelone,طالبی,Frisches Obst / میوه
kian-204,3.99,Trauben,انگور,Frisches Obst / میوه
kian-205,,Kiwi,کیوی,Frisches Obst / میوه
kian-206,,Spülmittel,مایع ظرفشویی,Reinigung & Hygiene / شوینده و بهداشتی
kian-207,,Flüssigwaschmittel,مایع لباسشویی,Reinigung & Hygiene / شوینده و بهداشتی
kian-208,,Waschpulver,پودر لباسشویی,Reinigung & Hygiene / شوینده و بهداشتی
kian-209,,Bleichmittel,سفیدکننده,Reinigung & Hygiene / شوینده و بهداشتی
kian-210,,Papiertaschentücher,دستمال کاغذی,Reinigung & Hygiene / شوینده و بهداشتی
kian-211,,Toilettenpapier,دستمال توالت,Reinigung & Hygiene / شوینده و بهداشتی
kian-212,,Müllbeutel,کیسه زباله,Reinigung & Hygiene / شوینده و بهداشتی
kian-213,,Shampoo,شامپو,Reinigung & Hygiene / شوینده و بهداشتی
kian-214,,Seife,صابون,Reinigung & Hygiene / شوینده و بهداشتی
kian-215,,Zahnpasta,خمیردندان,Reinigung & Hygiene / شوینده و بهداشتی
kian-216,,Zahnbürste,مسواک,Reinigung & Hygiene / شوینده و بهداشتی
kian-217,,Einwegbecher,لیوان یکبار مصرف,Einweggeschirr / لوازم یکبار مصرف
kian-218,,Einwegteller,بشقاب یکبار مصرف,Einweggeschirr / لوازم یکبار مصرف
kian-219,,Einweglöffel,قاشق یکبار مصرف,Einweggeschirr / لوازم یکبار مصرف
kian-220,,Einweggabeln,چنگال یکبار مصرف,Einweggeschirr / لوازم یکبار مصرف
kian-221,,Einwegmesser,کارد یکبار مصرف,Einweggeschirr / لوازم یکبار مصرف
kian-222,,Einweg-Tischdecke,سفره یکبار مصرف,Einweggeschirr / لوازم یکبار مصرف
kian-223,,Alufolie,فویل آلومینیوم,Einweggeschirr / لوازم یکبار مصرف
kian-224,,Frischhaltefolie,سلفون,Einweggeschirr / لوازم یکبار مصرف
kian-225,,Gefrierbeutel,کیسه فریزر,Einweggeschirr / لوازم یکبار مصرف
kian-226,,Norooz-Sabzeh,سبزه نوروز,Saisonale Produkte / محصولات مناسبتی
kian-227,,Senjed,سنجد,Saisonale Produkte / محصولات مناسبتی
kian-228,,Norooz-Samanu,سمنو نوروزی,Saisonale Produkte / محصولات مناسبتی
kian-229,,Yalda-Nussmischung,آجیل شب یلدا,Saisonale Produkte / محصولات مناسبتی
kian-230,,Festtags-Datteln,خرمای مناسبتی,Saisonale Produkte / محصولات مناسبتی
kian-231,,Zoolbia & Bamieh,زولبیا و بامیه,Saisonale Produkte / محصولات مناسبتی
kian-232,,Festgebäck,شیرینی عید,Saisonale Produkte / محصولات مناسبتی
kian-233,,Kerzen,شمع,Saisonale Produkte / محصولات مناسبتی
kian-234,,Haft-Sin Tischdecke,سفره هفت‌سین,Saisonale Produkte / محصولات مناسبتی
kian-235,,Kaffee,قهوه,Sonstiges / سایر اقلام
kian-236,,Nescafé,نسکافه,Sonstiges / سایر اقلام
kian-237,,Cappuccino,کاپوچینو,Sonstiges / سایر اقلام
kian-238,,Würfelzucker,قند,Sonstiges / سایر اقلام
kian-239,,Zucker,شکر,Sonstiges / سایر اقلام
kian-240,,Kandiszucker-Sticks,نبات چوبی,Sonstiges / سایر اقلام
kian-241,7.99,Honig,عسل,Sonstiges / سایر اقلام
kian-242,,Marmelade,مربا,Sonstiges / سایر اقلام
kian-243,,Sesammus (Tahini),ارده,Sonstiges / سایر اقلام
kian-244,,Halva,حلوا ارده,Sonstiges / سایر اقلام
kian-245,,Erdnussbutter,کره بادام‌زمینی,Sonstiges / سایر اقلام
kian-246,,Thunfisch-Konserve,کنسرو تن ماهی,Sonstiges / سایر اقلام
kian-247,,Bohnen-Konserve,کنسرو لوبیا,Sonstiges / سایر اقلام
kian-248,,Mais-Konserve,کنسرو ذرت,Sonstiges / سایر اقلام
kian-249,,Erbsen-Konserve,کنسرو نخودفرنگی,Sonstiges / سایر اقلام
